id_attivita,id_account_club,nome_club_sponsor,titolo,descrizione,stato,rapporto_completo,livello_attivita,causa,tipo_progetto,attivita_distintiva,finanziata_lcif,data_inizio,data_conclusione,persone_servite,persone_servite_limite,totale_volontari,totale_ore_servizio,totale_ore_servizio_capped,alberi_piantati,valuta_fondi_donati,totale_fondi_donati,fondi_donati_usd_capped,donazione_lcif,organizzazione_beneficiata,valuta_fondi_raccolti,totale_fondi_raccolti,fondi_raccolti_usd_capped,creato_da
SA-09492439,001Ns00000EDgRMIA1,Montecatini Terme Castello,"Spettacolo Teatrale ""E vissero (quasi tutti) felici e contenti)","Una serata speciale, quella di giovedì sera al Teatro Yves Montand di Monsummano Terme: sala piena, tante risate, molte emozione e un grande cuore che batte forte.
Grazie alla Compagnia Teatrale Birbanti in Scena per averci regalato uno spettacolo capace di unire leggerezza e significato, e grazie a tutte le persone che hanno scelto di esserci: il vostro sostegno fa la differenza. 
Il ricavato della serata sarà destinato alla realizzazione della cartellonistica di Comunicazione Aumentata Alternativa (CAA) e devoluto all'Associazione IL SOLE ADP 
Quando il teatro diventa occasione di inclusione e solidarietà, vince tutta la comunità.",Comunicato,True,Lions Club,Altro servizio umanitario,Iniziative per i disabili,False,False,2026-05-14,2026-05-14,235,235,10,40.00,40.00,,EUR,400.00,468.52,0,Il sole APS,EUR,3000.00,3513.87,Alessandro Bondì
SA-09565037,001Ns00000EDgRMIA1,PESCIA,assemblea soci presso Centro socio riabilitativo IL FARO,Assemblea socio presso il Centro Socio riabilitativo il FARO i cui ragazzi hanno collaborato alla realizzazione della cena insieme agli operatori,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-14,2026-05-14,,0,25,75.00,75.00,,,,0.00,0,,,,0.00,Sandro Di Marco
SA-09565101,001Ns00000EDgRMIA1,PESCIA,Assemblea congressuale distrettuale di Firenze,partecipazione ASSEMBLEA CONGRESUALE CON 6 MEMBRI DEL CLUB PIU IL PRESIDENTE,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,7,63.00,63.00,,,,0.00,0,,,,0.00,Sandro Di Marco
SA-09565133,001Ns00000EDgRMIA1,PESCIA,Service della Vista,service raccolta occhiali 361 paia di occhiali svolto dal socio Lorenzo Guidi,Comunicato,True,Lions Club,Vista,Raccolta e riciclaggio di occhiali,True,False,2026-05-27,2026-05-27,400,400,10,200.00,200.00,,,,0.00,0,,,,0.00,Sandro Di Marco
SA-09565218,001Ns00000EDgRMIA1,PESCIA,Puliamo Pescia service natura,"Il LEO Club Pescia insieme Lions Pescia service ambiente "" Puliamo Pescia""",Comunicato,True,Lions Club,Ambiente,Riciclaggio e gestione dei rifiuti,False,False,2026-05-30,2026-05-30,1000,1000,3,12.00,12.00,,,,0.00,0,,,,0.00,Sandro Di Marco
SA-09565310,001Ns00000EDgRMIA1,PESCIA,Service Pinocchio e giovani,Partecipato allo spettacolo a Milano dei ragazzi che avevamo ospitato al Parco di Pinocchio con la presenza ex Governatore distretto Lions milano M. Belrosso e responsabile del Dipartimento delle nuove povertà,Comunicato,True,Lions Club,Giovani,Istruzione e alfabetizzazione,False,False,2026-05-28,2026-05-28,20,20,2,40.00,40.00,,,,0.00,0,,,,0.00,Sandro Di Marco
SA-09565367,001Ns00000EDgRMIA1,PESCIA,gita in garfagnana,gita in Garfagnana con collaborazione del Pres zona Civinini e socio Mori del Lions club Garfagnana,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-31,2026-05-31,,0,20,200.00,200.00,,,,0.00,0,,,,0.00,Sandro Di Marco
SA-09526914,001Ns00000EDgRMIA1,PISA CERTOSA,Camper della Salute,giornata Camper della Salute a Pisa,Comunicato,True,Lions Club,Diabete,Screening per il diabete di tipo 2,False,False,2026-04-03,2026-04-03,200,200,6,70.00,70.00,,,,0.00,0,,,,0.00,Massimiliano Razzano
SA-09489339,001Ns00000EDgRMIA1,PISTOIA,Borsa di studio in ricordo di Lorenzo Andreotti,"Contributo alla borsa di studio insieme ai club della III Circoscrizione in memoria di Lorenzo Andreotti, figlio del Presidente di Zona, prematuramente scomparso per una rapida malattia",Comunicato,True,Lions Club,Giovani,Donazione,False,False,2026-03-10,2026-03-10,,0,,,0.00,,EUR,100.00,118.12,0,Fondazione Lorenzo Andreotti,,,0.00,Alberto Carradori
SA-09489357,001Ns00000EDgRMIA1,PISTOIA,Volare senza limiti,Partecipazione insieme a circa 30 Lions e Leo Club del Distretto a 2 giornate di volo offerto a ragazzi con varie disabilità,Comunicato,True,Lions Club,Altro servizio umanitario,Iniziative per i disabili,False,False,2025-08-25,2025-09-06,120,120,3,12.00,12.00,,EUR,400.00,458.70,0,Volare senza limiti,,,0.00,Alberto Carradori
SA-09489382,001Ns00000EDgRMIA1,PISTOIA,Stelle di Natale AIL,Acquisto di stelle di Natale a sostegno della ricerca AIL e donate alle signore presenti alla Charter,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2025-12-15,2025-12-15,,0,,,0.00,,EUR,480.00,555.18,0,A.I.L.,,,0.00,Alberto Carradori
SA-09489398,001Ns00000EDgRMIA1,PISTOIA,Corso HCCP a favore dei ragazzi dell'associazione Il Sole ADP Ets,"Corso HCCP a favore dei ragazzi con trisomia 21 dell'Associazione Il Sole ADP, parte di un progetto per inserire questi ragazzi nel mondo del lavoro",Comunicato,True,Lions Club,Giovani,Istruzione e alfabetizzazione,False,False,2026-01-19,2026-05-08,25,25,2,30.00,30.00,,,,0.00,0,,,,0.00,Alberto Carradori
SA-09510838,001Ns00000EDgRMIA1,PISTOIA,Lotteria a favore di Ispro,Vendita biglietti della lotteria distrettuale a favore del service per la prevenzione oncologica di ISPRO,Comunicato,True,Lions Club,Cancro infantile,Donazione,False,False,2026-04-21,2026-04-21,,0,,,0.00,,EUR,250.00,288.56,0,Ispro,,,0.00,Alberto Carradori
SA-09510849,001Ns00000EDgRMIA1,PISTOIA,Contributo Leo club Pistoia Balì,Contributo a favore del Leo club Pistoia Balì di cui il Lions Club Pistoia è padrino,Comunicato,True,Lions Club,Giovani,Donazione,False,False,2026-04-13,2026-04-13,,0,,,0.00,,EUR,1000.00,1154.22,0,Leo club Pistoia Balì,,,0.00,Alberto Carradori
SA-09583059,001Ns00000EDgRMIA1,PISTOIA FUORCIVITAS,7 ^ ASSEMBLEA ORDINARIA DEI SOCI LIONS CLUB PISTOIA FUORCIVITAS,7^  ASSEMBLEA ORDINARIA DEI SOCI LIONS CLUB PISTOIA FUORCIVITAS,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-04-22,2026-04-22,,0,12,30.00,30.00,,,,0.00,0,,,,0.00,Tiberio Fedi
SA-09583130,001Ns00000EDgRMIA1,PISTOIA FUORCIVITAS,CREA LA TUA CLUTCH UNCINETTO,SERVICE insieme a MONSUMMANO TERME  apericena workshop crea la tua clutch all uncinetto caffè New York,Comunicato,True,Lions Club,Altro servizio umanitario,Altro,False,False,2026-05-07,2026-05-07,60,60,10,30.00,30.00,,USD,340.00,340.00,0,fondazione mai soli ETS pieve a nievole,USD,340.00,340.00,Tiberio Fedi
SA-09543125,001Ns00000EDgRMIA1,POGGIO A CAIANO - CARMIGNANO - MEDICEI,Settimana Internazionale del Service tema Ambiente.,"Uscita didattica Giardino di Boboli, Palazzo Pitti Firenze. Classe 2F Scuola media Filippo Mazzei di Poggio a Caiano.",Comunicato,True,Lions Club,Giovani,Sensibilizzazione e istruzione e advocacy,False,False,2026-04-21,2026-04-21,25,25,5,20.00,20.00,,,,0.00,0,,,,0.00,Giulia Giusti
SA-09543415,001Ns00000EDgRMIA1,POGGIO A CAIANO - CARMIGNANO - MEDICEI,Balli e balletti per la Corte Medicea.,"Serata conviviale con cenqa al Mestolo d'oro di Poggio a Caiano. E' interveuta la professoressa Gloria Giordano spiegando agli altri commensali usi sulle danze dell'epoca alla corte del Medici.
Sono stati donati 500 euro alla Misericordia.",Comunicato,True,Lions Club,Giovani,Donazione,False,False,2026-05-07,2026-05-07,28,28,8,8.00,8.00,,USD,500.00,500.00,0,Misericordia di Poggio a Caiano,USD,500.00,500.00,Giulia Giusti
SA-09512533,001Ns00000EDgRMIA1,PONTASSIEVE - STIBBERT,Serata di Formazione,"Incontro con il referente distrettuale del ""Program Alert"" Federico Romolini  - relatore Arch. Davide Gori ""La prevenzione sismica negli ambienti domestici""",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-19,2026-05-19,,0,40,3.00,3.00,,,,0.00,0,,,,0.00,Anna Maria Bamonte
SA-09512452,001Ns00000EDgRMIA1,PONTASSIEVE - STIBBERT,Spettacolo Teatrale GALLINA VECCHIA a Firenze oggi,"Spettacolo teatrale presso il teatro Le Laudi di Firenze : ""Gallina vecchia a Firenze oggi"" organizzato in Interclub con L.C Impruneta San Casciano e L.C.Firenze  Poggio Imperiale",Comunicato,True,Lions Club,Altro servizio umanitario,Attività per altri servizi sanitari,False,False,2026-05-08,2026-05-08,200,200,,3.00,3.00,,EUR,1500.00,1756.94,0,Ass.ne Pane quotidiano - Misericordie di Impruneta e Pontassieve,EUR,1500.00,1756.94,Anna Maria Bamonte
SA-09512496,001Ns00000EDgRMIA1,PONTASSIEVE - STIBBERT,Consiglio Direttivo,Svolgimento riunione del consiglio direttivo,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-06,2026-05-06,,0,15,4.00,4.00,,,,0.00,0,,,,0.00,Anna Maria Bamonte
SA-09512508,001Ns00000EDgRMIA1,PONTASSIEVE - STIBBERT,Congresso Distrettuale,Partecipazione al Congresso Distrettuale,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,4,8.00,8.00,,,,0.00,0,,,,0.00,Anna Maria Bamonte
SA-09518917,001Ns00000EDgRMIA1,PONTASSIEVE - STIBBERT,Premiazione concorso UN POSTER per la PACE,"Consegna attestati di partecipazione e premi ai vincitori alunni della scuola primaria paritaria ""Monticelli""  di Firenze",Comunicato,True,Lions Club,Giovani,Concorso Un Poster per la Pace e Concorso di saggistica,False,False,2025-10-01,2026-05-25,234,234,2,5.00,5.00,,,,0.00,0,,,,0.00,Anna Maria Bamonte
SA-09537848,001Ns00000EDgRMIA1,PRATO CURZIO MALAPARTE,XLV° Congresso Distrettuale,Per il Lions Club Prato Curzio Malaparte hanno preso parte al Congresso Distrettuale 4 Soci di cui 2 Delegati.,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,4,32.00,32.00,,,,0.00,0,,,,0.00,Roberto Pierattini
SA-09537877,001Ns00000EDgRMIA1,PRATO CURZIO MALAPARTE,Congresso Nazionale 108 Italy,"Delegata per il Club la Socia Barbara Becherucci, secondo Vice Governatore Distretto 108LA",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-22,2026-05-24,,0,1,30.00,30.00,,,,0.00,0,,,,0.00,Roberto Pierattini
SA-09537909,001Ns00000EDgRMIA1,PRATO CURZIO MALAPARTE,Mescoliamoci,"Il Service Distrettuale ha visto realizzarsi discipline sportive inclusive quali Basket in carrozzina, calcio per non vedenti, tiro con l'arco, tennis, scherma.",Comunicato,True,Lions Club,Giovani,Altro,False,False,2026-05-09,2026-05-09,100,100,3,15.00,15.00,,,,0.00,0,,,,0.00,Roberto Pierattini
SA-09493820,001Ns00000EDgRMIA1,PRATO DATINI,Gara Golf per raccolta fondi Associazione Tommasino Bacciotti,service gare di golf con raccolta fondi,Comunicato,True,Lions Club,Cancro infantile,Donazione,True,False,2025-09-20,2025-09-20,,0,,,0.00,,EUR,15500.00,18055.63,0,Fondazione Tommasino Bacciotti,EUR,15500.00,18055.63,Roberto Zerbinati
SA-09493868,001Ns00000EDgRMIA1,PRATO DATINI,Commemorazione Soci Lions defunti,Messa con donazione alla Chiesa santa Maria del Giglio,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2025-11-03,2025-11-03,20,20,,2.00,2.00,,EUR,200.00,231.65,0,santuario Santa Maria del Giglio,EUR,200.00,231.65,Roberto Zerbinati
SA-09493887,001Ns00000EDgRMIA1,PRATO DATINI,interclubs per il Centro di aiuto alla Vita,service interclubs con clubs services pratesi per la raccolta fondi a favore del Centro Di Aiuto alla Vita,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2025-11-14,2025-11-14,200,200,,15.00,15.00,,EUR,11650.00,13493.87,0,Centro di Aiuto alla Vita -Prato,EUR,11650.00,13493.87,Roberto Zerbinati
SA-09493907,001Ns00000EDgRMIA1,PRATO DATINI,Service per Cooperativa Sociale Margherita,Incontro con donazione alla cooperativa sociale Margherita,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2025-12-01,2025-12-01,30,30,,,0.00,,EUR,1115.00,1289.63,0,Cooperativa Sociale Margherita,EUR,1115.00,1289.63,Roberto Zerbinati
SA-09493930,001Ns00000EDgRMIA1,PRATO DATINI,darwin day - interclubs,"conferenza presso Università Prato su Darwin, fatto in Interclubs con tutti i Clubs Services di Prato",Comunicato,True,Lions Club,Altro servizio umanitario,Altro,False,False,2026-02-12,2026-02-12,100,100,12,4.00,4.00,,EUR,100.00,119.32,0,P.I.N.,EUR,100.00,119.32,Roberto Zerbinati
SA-09493958,001Ns00000EDgRMIA1,PRATO DATINI,ACQUISTO PRESEPI CIOCCOLATA PER LCIF,DONAZIONE LCIF,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2025-12-01,2025-12-24,,0,,,0.00,,EUR,728.00,842.02,1,LIONS CLUB INTERNATIONAL FONDATION,EUR,728.00,842.02,Roberto Zerbinati
SA-09493971,001Ns00000EDgRMIA1,PRATO DATINI,ACQUISTO UOVA DI PASQUA LCIF,ACQUISTO UOVA DI PASQUA LCIF,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2026-03-01,2026-03-18,,0,,,0.00,,EUR,390.00,460.68,1,LIONS CLUB INTERNATIONAL FONDATION,EUR,390.00,460.68,Roberto Zerbinati
SA-09572553,001Ns00000EDgRMIA1,SAN GIMIGNANO VIA FRANCIGENA,vendita azalee per raccolta fondi AIRC,vendita azalee per raccogliere fondi in favore dell'AIRC,Comunicato,True,Lions Club,Altro servizio umanitario,Altro,False,False,2026-05-10,2026-05-10,,0,10,12.00,12.00,,USD,268000.00,200000.00,0,airc,USD,268000.00,250000.00,Luigi Granati
SA-09565566,001Ns00000EDgRMIA1,SERRAVALLE PISTOIESE,Medici in piazza,"Service denominato ""Medici in piazza"" svoltosi in località Quarrata in sinergia con Lions Club Pistoia Fuorcivitas e Lions Club Quarrata,finalizzato alle visite gratuite alla cittadinananza da parte di medici Lions e non.",Comunicato,True,Lions Club,Vista,Screening della vista per adulti,True,False,2026-05-24,2026-05-24,300,300,20,70.00,70.00,,,,0.00,0,,,,0.00,Luciano Ciravegna
SA-09565655,001Ns00000EDgRMIA1,SERRAVALLE PISTOIESE,Scuola del Ricamo,"La ""Scuola del Ricamo"" è l'incontro fra maestre ricamatrici e discenti che ogni anno a livello nazionale ed internazionale producono particolari lavorazioni (tessuti,tovaglie,etc..) che poi presentano in varie manifestazioni.Le piu' belle e particolari sono premiate ed il Lions Club Serravalle Pistoiese contribuisce per la valorizzazione di tale particolare peculiarità del territorio",Comunicato,True,Lions Club,Altro servizio umanitario,Altro,True,False,2025-12-16,2026-05-29,50,50,5,70.00,70.00,,EUR,500.00,578.31,0,Scuola del Ricamo,EUR,500.00,578.31,Luciano Ciravegna
SA-09592380,001Ns00000EDgRMIA1,SESTO FIORENTINO,Piantumazione Albero,Piantumazione di un albero di varietà Leccio all?interno del Parco del Neto ubicato tra Sesto Fiorentino e Calenzano. Iniziativa realizzata nell?ambito del progetto Piantiamolo promosso dal comune di Calenzano,Comunicato,True,Lions Club,Ambiente,Messa a dimora e cura di alberi,True,False,2026-04-18,2026-04-18,1000,1000,7,4.00,4.00,,,,0.00,0,,EUR,150.00,173.13,Simone Amati
SA-09548663,001Ns00000EDgRMIA1,SIENA,Consighlio Direttivo,Riunione Consiglio Direttivo,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-05,2026-05-05,,0,19,38.00,38.00,,,,0.00,0,,,,0.00,Mauro Trecci
SA-09548712,001Ns00000EDgRMIA1,SIENA,Gita a Radicofani Interclub,Gita a Radicofani con visita al paese e pranzo insieme a soci del Rotary Siena Est,Comunicato,True,Lions Club,Altro servizio umanitario,Altro,False,False,2026-05-10,2026-05-10,50,50,8,56.00,56.00,,EUR,1000.00,1171.29,0,Associazione Sclerosi Multipla Siena,EUR,1000.00,1171.29,Mauro Trecci
SA-09549768,001Ns00000EDgRMIA1,SIENA,"Meeting ""L'attività dell'Università di Siena - presente  e futuro",Meeting con i soci e amici con l'intervento del Magnifico Rettore dell'Università di Siena,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-19,2026-05-19,,0,32,128.00,128.00,,,,0.00,0,,,,0.00,Mauro Trecci
SA-09549731,001Ns00000EDgRMIA1,SIENA,Congresso Distretto Lions 108 LA Toscana,Congresso Distretto Lions 108 LA Toscana,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,10,90.00,90.00,,,,0.00,0,,,,0.00,Mauro Trecci
SA-09549786,001Ns00000EDgRMIA1,SIENA,Congresso Multidistretto Italia,Congresso del Multidistretto Italia a Milano,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-22,2026-05-24,,0,10,86.00,86.00,,,,0.00,0,,,,0.00,Mauro Trecci
SA-09549832,001Ns00000EDgRMIA1,SIENA,"Meeting ""L'attività del Nucleo Carabinieri Forestali nella Provincia di Siena""",Meeting con i soci e amici,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-26,2026-05-26,,0,24,96.00,96.00,,,,0.00,0,,,,0.00,Mauro Trecci
SA-09549852,001Ns00000EDgRMIA1,SIENA,Riunione della Circoscrizione,Riunione della Circoscrizione a Castiglione della Pescaia (GR),Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-30,2026-05-30,,0,6,24.00,24.00,,,,0.00,0,,,,0.00,Mauro Trecci
SA-09498419,001Ns00000EDgRMIA1,"Siena ""Torre di Mezzo""",Service Gocce di vita- donazione sangue -secondo evento,Seconda donazione di sangue  dell'anno  al Centro Emotrasfusionale dell'Azienda Ospedaliera Universitaria Senese.,Comunicato,True,Lions Club,Altro servizio umanitario,Donazione,False,False,2026-05-11,2026-05-11,,0,5,,0.00,,USD,0.00,0.00,0,Centro Emotrasfusionale dell'Azienda Ospedaliera Universitaria Senese,,,0.00,Alessandra Addis
SA-09512133,001Ns00000EDgRMIA1,VALDICHIANA I CHIARI,Acqua azzurra acqua rara,acqua azzurra acqua rara,Comunicato,True,Lions Club,Ambiente,Sensibilizzazione e istruzione e advocacy,True,False,2026-05-17,2026-05-17,100,100,3,12.00,12.00,,EUR,500.00,585.65,0,,EUR,500.00,585.65,Marco Forzoni
SA-09503666,001Ns00000EDgRMIA1,VIAREGGIO HOST,Consiglio Direttivo Maggio 2026,Consiglio Direttivo del mese di Maggio 2026,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-20,2026-05-20,,0,21,3.00,3.00,,,,0.00,0,,,,0.00,Marco Boccella
SA-09491952,001Ns00000EDgRMIA1,VOLTERRA,congresso distrettuale,partecipazione al congresso distrettuale a Firenze,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-16,2026-05-16,,0,4,41.00,41.00,,,,0.00,0,,,,0.00,Luciano Fiaschi
SA-09550743,001Ns00000EDgRMIA1,VOLTERRA,concorso 1 poster per la pace premiazione,premiazione vincitrice locale del concorso internazionale 1 poster per la pace 2025/26 - scuola m. di Montecatini Val di Cecina - Istituto compensivo di Volterra,Comunicato,True,Lions Club,Giovani,Concorso Un Poster per la Pace e Concorso di saggistica,False,False,2026-05-28,2026-05-28,1,1,2,2.00,2.00,,EUR,150.00,175.69,0,,,,0.00,Luciano Fiaschi
SA-09582670,001Ns00000EDgRMIA1,VOLTERRA,service occhiali usati,raccolta occhiali usati per invio a centro raccolta lions di Chivasso (I) da destinare a varie parti del Mondo.,Comunicato,True,Lions Club,Ambiente,Altro,True,False,2026-06-03,2026-06-03,72,72,1,34.00,34.00,,,,0.00,0,,,,0.00,Luciano Fiaschi
SA-09582546,001Ns00000EDgRMIA1,VOLTERRA,donazione scuola per service per giovani,contributo alla scuola media di Pomarance (PI) per la collaborazione al concorso 1 poster per la pace 2025/26,Comunicato,True,Lions Club,Giovani,Donazione,True,False,2026-05-30,2026-05-30,,0,,,0.00,,EUR,200.00,234.26,0,scuola media statale,,,0.00,Luciano Fiaschi
SA-09582598,001Ns00000EDgRMIA1,VOLTERRA,gemellaggio,"accoglienza e ospitalità di una delegazione di Lions del Club di Provins-Nangis-Brayn sur Seine (F), con il quale il LC di Volterra è gemellato dal 1994, nell'ambito di incontri reciproci  biennali.",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-29,2026-05-31,,0,7,84.00,84.00,,,,0.00,0,,,,0.00,Luciano Fiaschi
SA-09582642,001Ns00000EDgRMIA1,VOLTERRA,raccolta occhiali usati,invio di 195 occhiali usati al centro di reaccolta lions di Chivasso (I),Comunicato,True,Lions Club,Vista,Raccolta e riciclaggio di occhiali,True,False,2026-06-03,2026-06-03,72,72,1,1.00,1.00,,,,0.00,0,,,,0.00,Luciano Fiaschi
SA-09591174,001Ns00000EDgRMIA1,VOLTERRA,service per i giovani 1 Poster per la pace,premiazione di due vincitrici ex aequo a livello locale del concorso internazionale 1 poster per la pace 2025/26 (uniti come una cosa sola) presso la scuola media di pomarance (Pi),Comunicato,True,Lions Club,Giovani,Concorso Un Poster per la Pace e Concorso di saggistica,False,False,2026-05-30,2026-05-30,2,2,2,2.00,2.00,,EUR,300.00,351.39,0,,,,0.00,Luciano Fiaschi
SA-09591247,001Ns00000EDgRMIA1,VOLTERRA,charter night 60^ LCV  conviviale aperta,"celebrazione della 60^ charter night del LC Volterra insieme ad una delegazione di Lions del club gemellato di Provins-Nangis-Brayn sur Seine (F) presenti a  Volterra nell'ambito di scambio reciproco di visita  biennale, ed inisieme a Sindaci del ns territorio, del presidente di Zona I e del presidente del LC Cecina (Li) che fu padrino del ns Club  nel 1966",Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-05-30,2026-05-30,,0,17,7.00,7.00,,,,0.00,0,,,,0.00,Luciano Fiaschi
SA-09604813,001Ns00000EDgRMIA1,VOLTERRA,riunione,partecipazione del presidente alla Charter Night del L C Cecina,Comunicato,True,Lions Club,Amministrazione,Attività di rafforzamento del club,False,False,2026-06-06,2026-06-06,,0,1,6.00,6.00,,,,0.00,0,,,,0.00,Luciano Fiaschi
