id_account,nome_club,nome_account_locale,identificativo_lions,tipo,circoscrizione,zona,distretto,multidistretto,id_organizzazione_appartenenza,parent_parent_id,parent_district_id,id_md_appartenenza,identificativo_lions_affiliato
001Ns00000EDpJC,FIRENZE BARGELLO,FIRENZE BARGELLO,47988,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDj9M,FIRENZE BRUNELLESCHI,FIRENZE BRUNELLESCHI,119305,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDbk4,FIRENZE COSIMO DEI MEDICI,FIRENZE COSIMO DEI MEDICI,97195,Lions Club,1° circoscrizione,Zone: A,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDkPg,FIRENZE DANTE ALIGHIERI,FIRENZE DANTE ALIGHIERI,89514,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDfgo,Firenze Filippo Neri,Firenze Filippo Neri,139749,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDHQN,FIRENZE GIOTTO,FIRENZE GIOTTO,48548,Lions Club,1° circoscrizione,Zone: A,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDRze,FIRENZE-IMPRUNETA-SAN CASCIANO,FIRENZE-IMPRUNETA-SAN CASCIANO,41369,Lions Club,1° circoscrizione,Zone: A,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDem0,FIRENZE MICHELANGELO,FIRENZE MICHELANGELO,54490,Lions Club,2° Circoscrizione,Zone: D,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDlYf,FIRENZE-PALAZZO VECCHIO,FIRENZE-PALAZZO VECCHIO,56442,Lions Club,1° circoscrizione,Zone: A,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
001Ns00000EDUBC,FIRENZE PITTI,FIRENZE PITTI,41996,Lions Club,1° circoscrizione,Zone: A,District 108 LA,Multiple District 108,001Ns00000EDgRMIA1,001Ns00000EDcoVIAT,001Ns00000EDgRM,001Ns00000EDcoVIAT,
